call_id,timestamp,region,call_type,call_duration,priority_level,agent_available,weather_flag,is_holiday,call_volume_next_interval,hour,day_of_week,is_weekend,lag_1,rolling_call_count,moving_avg_3
0,2025-01-01 00:00:00,South,Medical,630,3,15,Severe,0,44,0,2,0,0.0,0.0,0.0
1,2025-01-01 00:05:00,South,Police,613,2,10,Normal,0,23,0,2,0,44.0,0.0,0.0
2,2025-01-01 00:10:00,Central,Fire,960,4,14,Severe,0,42,0,2,0,23.0,109.0,36.333333333333336
3,2025-01-01 00:15:00,East,Medical,543,3,29,Severe,0,35,0,2,0,42.0,100.0,33.333333333333336
4,2025-01-01 00:20:00,West,Other,113,1,22,Normal,0,15,0,2,0,35.0,92.0,30.666666666666668
5,2025-01-01 00:25:00,West,Medical,808,3,12,Normal,0,16,0,2,0,15.0,66.0,22.0
6,2025-01-01 00:30:00,South,Fire,965,4,14,Severe,0,35,0,2,0,16.0,66.0,22.0
7,2025-01-01 00:35:00,South,Other,369,1,20,Normal,0,25,0,2,0,35.0,76.0,25.333333333333332
8,2025-01-01 00:40:00,Central,Police,416,2,17,Normal,0,25,0,2,0,25.0,85.0,28.333333333333332
9,2025-01-01 00:45:00,East,Medical,691,3,7,Normal,0,24,0,2,0,25.0,74.0,24.666666666666668
10,2025-01-01 00:50:00,West,Other,367,1,6,Normal,0,28,0,2,0,24.0,77.0,25.666666666666668
11,2025-01-01 00:55:00,West,Police,746,2,5,Normal,0,22,0,2,0,28.0,74.0,24.666666666666668
12,2025-01-01 01:00:00,East,Police,214,2,14,Severe,0,48,1,2,0,22.0,98.0,32.666666666666664
13,2025-01-01 01:05:00,Central,Police,684,2,27,Normal,0,27,1,2,0,48.0,97.0,32.333333333333336
14,2025-01-01 01:10:00,West,Other,144,1,29,Normal,0,21,1,2,0,27.0,96.0,32.0
15,2025-01-01 01:15:00,East,Medical,647,3,29,Normal,0,16,1,2,0,21.0,64.0,21.333333333333332
16,2025-01-01 01:20:00,West,Medical,558,3,11,Normal,0,16,1,2,0,16.0,53.0,17.666666666666668
17,2025-01-01 01:25:00,South,Medical,673,3,28,Normal,0,20,1,2,0,16.0,52.0,17.333333333333332
18,2025-01-01 01:30:00,North,Medical,380,3,21,Normal,0,16,1,2,0,20.0,52.0,17.333333333333332
19,2025-01-01 01:35:00,Central,Fire,1071,4,10,Normal,1,36,1,2,0,16.0,72.0,24.0
20,2025-01-01 01:40:00,Central,Police,397,2,26,Normal,0,24,1,2,0,36.0,76.0,25.333333333333332
21,2025-01-01 01:45:00,Central,Other,351,1,8,Normal,0,25,1,2,0,24.0,85.0,28.333333333333332
22,2025-01-01 01:50:00,West,Other,227,1,11,Normal,0,16,1,2,0,25.0,65.0,21.666666666666668
23,2025-01-01 01:55:00,South,Medical,443,3,20,Normal,0,18,1,2,0,16.0,59.0,19.666666666666668
24,2025-01-01 02:00:00,West,Police,359,2,27,Normal,0,16,2,2,0,18.0,50.0,16.666666666666668
25,2025-01-01 02:05:00,West,Medical,719,3,10,Normal,0,26,2,2,0,16.0,60.0,20.0
26,2025-01-01 02:10:00,North,Medical,637,3,6,Normal,0,18,2,2,0,26.0,60.0,20.0
27,2025-01-01 02:15:00,North,Fire,903,4,12,Normal,0,16,2,2,0,18.0,60.0,20.0
28,2025-01-01 02:20:00,East,Police,221,2,18,Normal,0,21,2,2,0,16.0,55.0,18.333333333333332
29,2025-01-01 02:25:00,East,Police,483,2,19,Severe,0,40,2,2,0,21.0,77.0,25.666666666666668
30,2025-01-01 02:30:00,East,Police,711,2,21,Normal,0,23,2,2,0,40.0,84.0,28.0
31,2025-01-01 02:35:00,West,Medical,579,3,21,Normal,1,30,2,2,0,23.0,93.0,31.0
32,2025-01-01 02:40:00,North,Medical,427,3,22,Normal,0,17,2,2,0,30.0,70.0,23.333333333333332
33,2025-01-01 02:45:00,South,Police,354,2,14,Severe,0,44,2,2,0,17.0,91.0,30.333333333333332
34,2025-01-01 02:50:00,Central,Medical,837,3,7,Normal,0,23,2,2,0,44.0,84.0,28.0
35,2025-01-01 02:55:00,West,Police,520,2,12,Normal,0,12,2,2,0,23.0,79.0,26.333333333333332
36,2025-01-01 03:00:00,West,Police,250,2,29,Normal,0,26,3,2,0,12.0,61.0,20.333333333333332
37,2025-01-01 03:05:00,East,Medical,563,3,25,Severe,0,35,3,2,0,26.0,73.0,24.333333333333332
38,2025-01-01 03:10:00,West,Fire,1055,4,17,Severe,0,39,3,2,0,35.0,100.0,33.333333333333336
39,2025-01-01 03:15:00,South,Medical,416,3,27,Normal,1,33,3,2,0,39.0,107.0,35.666666666666664
